city_id,city_name,city_lat,city_lng,sido_id_id
47750,청송군,36.36692663,129.0400761,47
47760,영양군,36.67857767,129.1324297,47
47770,영덕군,36.46881336,129.3303499,47
47820,청도군,35.66445973,128.7387456,47
47830,고령군,35.74127575,128.3020914,47
47840,성주군,35.9144385,128.2369899,47
47850,칠곡군,36.0176435,128.4380208,47
47900,예천군,36.65442883,128.4157083,47
47920,봉화군,36.9188176,128.8768706,47
47930,울진군,36.89180918,129.356992,47
47940,울릉군,37.50076325,130.8755883,47
48121,창원시 의창구,35.28017775,128.652787,48
48123,창원시 성산구,35.21719571,128.681856,48
48125,창원시 마산합포구,35.17725713,128.5453596,48
48127,창원시 마산회원구,35.23370383,128.5775235,48
48129,창원시 진해구,35.14457853,128.7045374,48
48170,진주시,35.1916862,128.1204706,48
48220,통영시,34.83282007,128.3950275,48
48240,사천시,35.00956933,128.0608446,48
48250,김해시,35.24738632,128.8566129,48
48270,밀양시,35.49151206,128.7646391,48
48310,거제시,34.88717395,128.6387751,48
48330,양산시,35.37737169,129.0696963,48
48720,의령군,35.39089815,128.2733558,48
48730,함안군,35.2909293,128.4284585,48
48740,창녕군,35.50053257,128.4959519,48
48820,고성군,35.02096971,128.2871752,48
48840,남해군,34.8156912,127.9388935,48
48850,하동군,35.10167254,127.797994,48
48860,산청군,35.39178609,127.9032607,48
48870,함양군,35.54974818,127.7267992,48
48880,거창군,35.72846933,127.908778,48
48890,합천군,35.57280312,128.1654758,48
50110,제주시,33.49877558,126.52072,50
50130,서귀포시,33.28436047,126.5456701,50
